"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max","p_FDR"
"GSE135251_liver: HSF2 vs PADI4 (NAFLD subset)",206,-0.119745535100851,0.0864575388159265,-0.260203824714253,0.0317293202575173,-0.134733579210204,-0.107476294843766,0.172915077631853
"GSE135251_liver: HSF2 vs ELANE (NAFLD subset)",206,-0.19187671624179,0.00572884501287327,-0.322365814565256,-0.0517485518297124,-0.207553440866639,-0.178974561319567,0.0229153800514931
"GSE135251_liver: HSF2 vs MPO (NAFLD subset)",206,-0.0253182803743976,0.717925713987226,-0.166172928216822,0.119316961882055,-0.038203362446515,-0.0111691726561953,0.717925713987226
"GSE135251_liver: HSF2 vs CTSG (NAFLD subset)",206,-0.208600082591025,0.00262171492396312,-0.344800206465576,-0.0671363267022922,-0.221278569639902,-0.197325074016468,0.0179665211420366
"GSE135251_liver: HSF2 vs LTF (NAFLD subset)",206,-0.205845147518592,0.00299442019033944,-0.34091555281072,-0.0538403890011448,-0.221746458469725,-0.194456129598418,0.0179665211420366
"GSE135251_liver: HSF2 vs CAMP (NAFLD subset)",206,-0.0559091972192544,0.424760451011033,-0.203952864191714,0.0843474961191122,-0.0700484959882441,-0.0425175692102968,0.533904509696199
"GSE135251_liver: HSF2 vs DEFA4 (NAFLD subset)",206,-0.0900487913634455,0.198026166980654,-0.231039010647423,0.0506582597890297,-0.105237417811018,-0.0760598833977346,0.297039250470981
"GSE135251_liver: HSF2 vs AZU1 (NAFLD subset)",206,-0.141351643399368,0.0427013330385172,-0.288109556976937,0.00491195996208291,-0.15782278985362,-0.128089734522388,0.128103999115552
"GSE135251_liver: HSF2 vs ITGAM (NAFLD subset)",206,-0.09776070998363,0.162130200682898,-0.228590569804592,0.0406446989201841,-0.111793957459849,-0.0858575587469181,0.277937486884968
"GSE135251_liver: HSF2 vs NCF2 (NAFLD subset)",206,-0.0535116528877404,0.444920424746832,-0.18620385192316,0.0880991719686678,-0.0677926202448775,-0.0401401289855274,0.533904509696199
"GSE135251_liver: HSF2 vs S100A12 (NAFLD subset)",206,-0.0268384324850535,0.70177239994585,-0.164750797431804,0.109333830561778,-0.0407949010979432,-0.0135434863040074,0.717925713987226
"GSE135251_liver: HSF2 vs LCN2 (NAFLD subset)",206,-0.127805976244651,0.0671432894853869,-0.258150355983489,0.0106356454130945,-0.14091877811982,-0.115213606162332,0.161143894764929
