"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max","p_FDR"
"GSE47460_lung: HSF2 vs PADI4 (UIP/IPF subset)",122,-0.205131509597283,0.0234154866085993,-0.368187885854805,-0.0208498005908869,-0.231737284476156,-0.185822019072918,0.0286189280771769
"GSE47460_lung: HSF2 vs ELANE (UIP/IPF subset)",122,-0.34750124330686,8.79246336286418e-05,-0.500855162442265,-0.176070290134094,-0.370092755204357,-0.332374224994084,0.00016119516165251
"GSE47460_lung: HSF2 vs MPO (UIP/IPF subset)",122,-0.320378163409724,0.000321202225533531,-0.469530624466659,-0.140104531711527,-0.344506747911935,-0.303550168592375,0.000441653060108606
"GSE47460_lung: HSF2 vs CTSG (UIP/IPF subset)",122,-0.0481461103924549,0.598455976105007,-0.239369427922796,0.128137070442734,-0.0701091825451191,-0.0281093823828177,0.598455976105007
"GSE47460_lung: HSF2 vs LTF (UIP/IPF subset)",122,0.435568641252592,5.32620449426215e-07,0.284328974339716,0.570756477362576,0.422467183422878,0.46105958044298,1.17176498873767e-06
"GSE47460_lung: HSF2 vs CAMP (UIP/IPF subset)",122,-0.45675689518783,1.23605341411827e-07,-0.582339561719465,-0.309607101637535,-0.484559146049919,-0.444462885217555,4.53219585176698e-07
"GSE47460_lung: HSF2 vs DEFA4 (UIP/IPF subset)",122,-0.327988355052402,0.000226008381048985,-0.487120801769985,-0.138947875039269,-0.354603635354179,-0.311452227768073,0.00035515602736269
"GSE47460_lung: HSF2 vs ITGAM (UIP/IPF subset)",122,-0.475850115904893,3.03681815822855e-08,-0.617483438556481,-0.313622795690177,-0.498188758618718,-0.462888603998435,1.6702499870257e-07
"GSE47460_lung: HSF2 vs NCF2 (UIP/IPF subset)",122,-0.477043817328663,2.77367919677565e-08,-0.611359263852005,-0.319969863183148,-0.508930053278869,-0.46497922022497,1.6702499870257e-07
"GSE47460_lung: HSF2 vs S100A12 (UIP/IPF subset)",122,-0.199454761747406,0.027626405661213,-0.380036299196398,0.00699628464825851,-0.227795108369829,-0.180348802156897,0.0303890462273343
"GSE47460_lung: HSF2 vs LCN2 (UIP/IPF subset)",122,0.442471676572416,3.34532618386392e-07,0.277379970801419,0.576720120230045,0.428587638172336,0.468304545970977,9.19964700562577e-07
