"comparison","n_R","n_NR","mean_R","mean_NR","diff_R_minus_NR","p_value"
"HSF2: Responder vs Non-responder",5,5,2.1443474971567,1.97078367776984,0.173563819386858,0.30952380952381
"NET_core: Responder vs Non-responder",5,5,0.186115346051724,-0.186115346051724,0.372230692103448,0.672335808365955
"NET_extended: Responder vs Non-responder",5,5,-0.00364618772700601,0.00364618772700599,-0.00729237545401201,0.69047619047619
