"comparison","n_R","n_NR","mean_R","mean_NR","diff_R_minus_NR","p_value"
"HSF2: Responder vs Non-responder",6,4,1.7214103564783,2.44310475144169,-0.721694394963393,0.019047619047619
"NET_core: Responder vs Non-responder",6,4,0.385507041884744,-0.578260562827116,0.96376760471186,0.171428571428571
"NET_extended: Responder vs Non-responder",6,4,0.374008087444967,-0.561012131167451,0.935020218612418,0.0666666666666667
