"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max"
"GSE14323_liver: HSF2 vs NET_core (diseased subset, primary/replication)",96,-0.550474769397721,6.2360463997173e-09,-0.688924470079024,-0.380623012126529,-0.575839865621501,-0.536128219484882
"GSE14323_liver: HSF2 vs NET_core (all samples incl. normal)",115,-0.557500197269786,9.69307326535752e-11,-0.681172664220069,-0.411593456275144,-0.579733095725077,-0.546019724185416
"GSE14323_liver: HSF2 vs NET_extended (diseased subset)",96,-0.215626695604992,0.034865754381247,-0.407340567910676,-0.00813428067657663,-0.24307110862262,-0.192133258678611
"GSE14323_liver: HSF2 vs disease severity (ordinal, all samples)",115,0.122785685881049,0.191111483340114,-0.06225427930715,0.30974662441967,0.101551730798311,0.14382171450224
"GSE14323_liver: NET_core vs disease severity (ordinal, all samples)",115,0.00144268943785093,0.98779115451729,-0.170077444700932,0.182289786992101,-0.0179071843578052,0.0195296690873996
