"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max"
"GSE135251_liver: HSF2 vs NET_core (NAFLD subset, primary)",206,-0.144730547347685,0.0379332915685349,-0.287618124388057,-0.00205408324131232,-0.15914668969648,-0.132555612820549
"GSE135251_liver: HSF2 vs NET_core (all samples incl. control)",216,-0.149367103680682,0.0281758950842247,-0.282230187376365,-0.0109386146120812,-0.16324229032336,-0.137805791011616
"GSE135251_liver: HSF2 vs NET_extended (NAFLD subset)",206,-0.180416422146492,0.00945810414143717,-0.315280694877655,-0.042914250311708,-0.195461826691368,-0.168684096892368
"GSE135251_liver: HSF2 vs fibrosis stage (ordinal, all samples)",216,-0.00452785331292092,0.947250610423184,-0.137868311246894,0.136115667630313,-0.015712720088459,0.00695373289465569
"GSE135251_liver: NET_core vs fibrosis stage (ordinal, all samples)",216,-0.0868792556393062,0.203424175454768,-0.215220995033744,0.0542268573917001,-0.0990030976754136,-0.0746518228528043
