"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max"
"GSE135251_liver: HSF2 vs PTPRC (NAFLD subset)",206,0.1783806415523,0.0103094822033131,0.0445509411922147,0.312283611345866,0.166682453232299,0.194582886434233
"GSE135251_liver: HSF2 vs NET_core (NAFLD subset) [repeat]",206,-0.144730547347685,0.0379332915685349,-0.287618124388057,-0.00205408324131232,-0.15914668969648,-0.132555612820549
"GSE135251_liver: PTPRC vs NET_core (NAFLD subset)",206,0.251512250031745,0.000265618580838049,0.113023837320636,0.376408785851844,0.24091042052625,0.264211391400036
"GSE14323_liver: HSF2 vs PTPRC (diseased subset)",96,0.448263700488334,4.6500389813015e-06,0.256732160978197,0.6229911414668,0.430879059350504,0.489585666293393
"GSE14323_liver: HSF2 vs NET_core (diseased subset) [repeat]",96,-0.550474769397721,6.2360463997173e-09,-0.688924470079024,-0.380623012126529,-0.575839865621501,-0.536128219484882
"GSE14323_liver: PTPRC vs NET_core (diseased subset)",96,-0.223941942485079,0.0282808331765656,-0.426601833087184,-0.0161270432204892,-0.258006718924972,-0.199636058230683
