"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max"
"GSE53845_lung: HSF2 vs NET_core (IPF subset, primary/replication)",40,-0.049906191369606,0.759744504065714,-0.349841325933513,0.273630693544616,-0.100607287449393,0.0101214574898785
"GSE53845_lung: HSF2 vs NET_core (all samples incl. control)",48,-0.0113981762917933,0.938711271610842,-0.287636339679675,0.271743542763192,-0.0508788159111933,0.0370027752081406
"GSE53845_lung: HSF2 vs NET_extended (IPF subset)",40,-0.154033771106942,0.342629113028956,-0.436231801574165,0.173200483093089,-0.212145748987854,-0.0917004048582996
"GSE53845_lung: HSF2 vs disease status (binary control/IPF)",48,0.189655972105025,0.196671187557789,-0.0263129311029544,0.384535827990394,0.136575804264734,0.212855054550019
"GSE53845_lung: NET_core vs disease status (binary control/IPF)",48,-0.0807046689808617,0.58555380010845,-0.362044622349253,0.210091423338526,-0.149792817580676,0
