"comparison","n","rho","p_value","ci_lo","ci_hi","loo_rho_min","loo_rho_max"
"GSE47460_lung: HSF2 vs NET_core (UIP/IPF subset, primary)",122,-0.39173155817323,8.12226597147031e-06,-0.53848601337018,-0.218327845947185,-0.416397534883294,-0.377195463344707
"GSE47460_lung: HSF2 vs NET_core (Control+IPF, all)",213,-0.377526871806066,1.27529381834622e-08,-0.495211278073804,-0.253272615521511,-0.396268731672947,-0.369044301726955
"GSE47460_lung: HSF2 vs NET_extended (UIP/IPF subset)",122,-0.35993265492638,4.66113306102096e-05,-0.512232535736014,-0.197105266605714,-0.381710441862155,-0.344134169039528
"GSE47460_lung: HSF2 vs disease status (binary Control/IPF)",213,0.46815292321178,5.3307381578488e-13,0.356106179096338,0.569677311367164,0.463454779645568,0.48201168367579
"GSE47460_lung: NET_core vs disease status (binary Control/IPF)",213,0.0285553128607351,0.678593460938622,-0.118282304219744,0.166356510495809,0.0194925401127275,0.0383613189418477
