"gsm","tissue","severity","HSF2","NET_core","NET_ext"
"GSM358209","Normal",0,4.881284107,0.174053904664159,0.00384421736786832
"GSM358210","Normal",0,4.915762766,0.504567047658396,0.747560836202508
"GSM358211","Normal",0,4.872201606,0.221562103955508,-0.00327162772554753
"GSM358212","Normal",0,4.971173135,0.547104423524066,0.114514538065832
"GSM358213","Normal",0,5.100720677,-0.342245141142879,0.144396087770233
"GSM358214","Normal",0,4.764438113,0.874725921044742,1.08537267225832
"GSM358215","Normal",0,5.37999214,-0.121853048035883,-0.457160374887114
"GSM358216","Normal",0,4.989880581,0.806713640766271,0.431063364375241
"GSM358217","Normal",0,5.344336681,0.757691710804622,-0.0495909744475007
"GSM358218","Normal",0,5.032945236,0.633471851658195,0.133340399975599
"GSM358219","Normal",0,5.127514707,0.787322193301537,0.0974097632947951
"GSM358220","Normal",0,5.20792399,-0.0878379221843121,-0.270192841107986
"GSM358221","Normal",0,5.33037284,0.304928825192681,-0.16984169908203
"GSM358222","Normal",0,4.719024161,0.46247054552158,-0.0364830342597974
"GSM358223","Normal",0,5.071009701,0.066255475033678,0.218764849363546
"GSM358224","Normal",0,5.274871619,0.259251748326592,-0.296290350405679
"GSM358225","Normal",0,5.232388818,-0.00155429446497891,-0.572998947526063
"GSM358226","Normal",0,5.205653342,-0.0073166666529411,-0.0974597518360667
"GSM358227","Normal",0,5.17302568,0.523410380963362,0.252567424174217
