"level","pooled_rho","ci_lo","ci_hi","p_value","I2"
"Overall (4 cohorts)",-0.307508267956184,-0.507851078872574,-0.0756079352263008,0.0100694613364694,83.459550656233
"Liver only (2 cohorts)",-0.359448957468044,-0.685776285543756,0.0872101028234541,0.111739374429032,93.001183906964
"Lung only (2 cohorts)",-0.251941687148557,-0.544520281834642,0.0952986084552956,0.152899806582242,73.2440123321583
