"comparison","n_R","n_NR","mean_R","mean_NR","diff_R_minus_NR","p_value"
"HSF2: Responder vs Non-responder",11,4,1.40200750006813,2.07654105003388,-0.674533549965755,0.0430058933601486
"NET_core: Responder vs Non-responder",11,4,0.111471992323032,-0.306547978888339,0.418019971211372,0.267108901252113
"NET_extended: Responder vs Non-responder",11,4,0.0870595593832755,-0.239413788304008,0.326473347687283,0.133247020340132
